id,page_number,is_premium,title,topic_tags,difficulty,similar_questions,no_similar_questions,acceptance,accepted,submission,discussion_count,likes,dislikes,problem_URL
75,2,False,75. Sort Colors,"['Array', 'Two Pointers', 'Sorting']",Medium,"[""['Sort List'"", ""'Wiggle Sort'"", ""'Wiggle Sort II']""]",3.0,68.42712451365927,3280020,4793450,588,20783,739,https://leetcode.com/problems/sort-colors/
76,2,False,76. Minimum Window Substring,"['Hash Table', 'String', 'Sliding Window']",Hard,"[""['Substring with Concatenation of All Words'"", ""'Minimum Size Subarray Sum'"", ""'Sliding Window Maximum'"", ""'Permutation in String'"", ""'Smallest Range Covering Elements from K Lists'"", ""'Minimum Window Subsequence'"", ""'Count Substrings That Can Be Rearranged to Contain a String II'"", ""'Count Substrings That Can Be Rearranged to Contain a String I']""]",8.0,46.16712973496169,1915533,4149124,297,19480,822,https://leetcode.com/problems/minimum-window-substring/
77,2,False,77. Combinations,['Backtracking'],Medium,"[""['Combination Sum'"", ""'Permutations']""]",2.0,73.56957811056908,1209193,1643605,116,8747,245,https://leetcode.com/problems/combinations/
78,2,False,78. Subsets,"['Array', 'Backtracking', 'Bit Manipulation']",Medium,"[""['Subsets II'"", ""'Generalized Abbreviation'"", ""'Letter Case Permutation'"", ""'Find Array Given Subset Sums'"", ""'Count Number of Maximum Bitwise-OR Subsets']""]",5.0,81.52978385042854,2737653,3357857,219,18697,332,https://leetcode.com/problems/subsets/
79,2,False,79. Word Search,"['Array', 'String', 'Backtracking', 'Depth-First Search', 'Matrix']",Medium,"[""['Word Search II']""]",1.0,46.0592083804836,2262231,4911568,316,17207,734,https://leetcode.com/problems/word-search/
80,2,False,80. Remove Duplicates from Sorted Array II,"['Array', 'Two Pointers']",Medium,"[""['Remove Duplicates from Sorted Array']""]",1.0,63.62197014250675,1711407,2689968,225,7906,1481,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/
81,2,False,81. Search in Rotated Sorted Array II,"['Array', 'Binary Search']",Medium,"[""['Search in Rotated Sorted Array']""]",1.0,39.27875869603336,1088676,2771666,218,9325,1102,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/
82,2,False,82. Remove Duplicates from Sorted List II,"['Linked List', 'Two Pointers']",Medium,"[""['Remove Duplicates from Sorted List'"", ""'Remove Duplicates From an Unsorted Linked List']""]",2.0,50.61033173958772,996066,1968109,111,9450,273,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/
83,2,False,83. Remove Duplicates from Sorted List,['Linked List'],Easy,"[""['Remove Duplicates from Sorted List II'"", ""'Remove Duplicates From an Unsorted Linked List']""]",2.0,55.55031691993455,2113720,3805056,146,9542,350,https://leetcode.com/problems/remove-duplicates-from-sorted-list/
84,2,False,84. Largest Rectangle in Histogram,"['Array', 'Stack', 'Monotonic Stack']",Hard,"[""['Maximal Rectangle'"", ""'Maximum Score of a Good Subarray']""]",2.0,48.416173789211946,1337503,2762516,247,18845,363,https://leetcode.com/problems/largest-rectangle-in-histogram/
